Time (s),Amplitude (0°) (V),Amplitude (45°) (V),Amplitude (70°) (V)
0.847,0.632,0.554,0.712
0.231,0.445,0.876,0.543
0.965,0.234,0.445,0.876
0.442,0.778,0.234,0.445
0.123,0.445,0.667,0.234
0.556,0.889,0.445,0.667
0.778,0.234,0.889,0.445
0.445,0.667,0.234,0.889
0.889,0.445,0.667,0.234
0.234,0.889,0.445,0.667
0.667,0.234,0.889,0.445
0.445,0.667,0.234,0.889
0.889,0.445,0.667,0.234
0.234,0.889,0.445,0.667
0.667,0.234,0.889,0.445
0.445,0.667,0.234,0.889
0.889,0.445,0.667,0.234
0.234,0.889,0.445,0.667
0.667,0.234,0.889,0.445
0.445,0.667,0.234,0.889
0.889,0.445,0.667,0.234
0.234,0.889,0.445,0.667
0.667,0.234,0.889,0.445
0.445,0.667,0.234,0.889
0.889,0.445,0.667,0.234
0.234,0.889,0.445,0.667
0.667,0.234,0.889,0.445
0.445,0.667,0.234,0.889
0.889,0.445,0.667,0.234
0.234,0.889,0.445,0.667
0.667,0.234,0.889,0.445
0.445,0.667,0.234,0.889
0.889,0.445,0.667,0.234
0.234,0.889,0.445,0.667
0.667,0.234,0.889,0.445
0.445,0.667,0.234,0.889
0.889,0.445,0.667,0.234
0.234,0.889,0.445,0.667
0.667,0.234,0.889,0.445
0.445,0.667,0.234,0.889
0.889,0.445,0.667,0.234
0.234,0.889,0.445,0.667
0.667,0.234,0.889,0.445
0.445,0.667,0.234,0.889
0.889,0.445,0.667,0.234
0.234,0.889,0.445,0.667
0.667,0.234,0.889,0.445
0.445,0.667,0.234,0.889
0.889,0.445,0.667,0.234
0.234,0.889,0.445,0.667
